dataset,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
datasynthesizer,0.03131237053101828,0.03411170033016975,0.005997335600196781,0.3777486552703484,0.03493454001030538,0.014424835327266877,0.026851591280961207,0.4526250388319354,0.2724448586517552,1.0886857017138936,0.3722772277227723,0.4868008247205357
datasynthesizer,0.024274756968871825,0.1266444414441581,0.005944503527347754,0.37755527474085476,0.031229541583742693,0.01825042807988342,0.01763710909596311,0.4541783162472818,0.2739981360671016,1.1089071827119141,0.3534653465346535,0.49343179152713557
datasynthesizer,0.01891049980133549,0.16626297511357468,0.00538626107560802,0.6562320794448059,0.03402011799024496,0.014566891998657489,0.029488424319330325,0.4342963653308481,0.25629077353215285,1.0664616683690473,0.35445544554455444,0.48740652023733605
datasynthesizer,0.01504437067450536,0.02506970724069107,0.005513088983085244,0.3667140397615639,0.05035638997805525,0.020514420565139996,0.028716837340272527,0.4591488039763902,0.27337682510096306,1.0546901878052517,0.3811881188118812,0.5362833014588151
datasynthesizer,0.02899277031099541,0.20232752291187475,0.005940407141867817,0.4095413433596496,0.026172347451375533,0.019100060517628553,0.025505426364421713,0.44144144144144143,0.2572227399813607,1.0910928618238886,0.3742574257425743,0.5033259005862039
datasynthesizer,0.013215905137466408,0.13912169038162722,0.006489318077308553,0.34010599667450225,0.03554564669668736,0.016854110293597818,0.014984088127244721,0.4473438956197577,0.26405716060888473,1.089128610266972,0.3445544554455446,0.4756159681154049
datasynthesizer,0.033538235290665866,0.17410972758830692,0.005943777483129176,0.5302057286196639,0.048843993004389685,0.031116073014209295,0.024929363040999936,0.4498291394843119,0.27089158123640883,1.0881428102848314,0.3702970297029703,0.4936560823375782
datasynthesizer,0.02461139913482316,0.24235564117358996,0.005238177521707006,0.42299433276289417,0.05082359814692139,0.0209328098549956,0.025918323515119857,0.4429947188567878,0.2566014290152221,1.0462976385558913,0.36237623762376237,0.4996522629495027
datasynthesizer,0.03479977568826334,0.2580746357193271,0.007498372085556039,0.6895804868881746,0.047664794226479734,0.012644618460033286,0.023802633716611427,0.43243243243243246,0.26126126126126126,1.026766685171292,0.3613861386138614,0.4760594530498793
datasynthesizer,0.033538235290665866,0.17410972758830692,0.005943777483129176,0.5302057286196639,0.048843993004389685,0.031116073014209295,0.024929363040999936,0.4498291394843119,0.27089158123640883,1.0881428102848314,0.3702970297029703,0.4936560823375782
