dataset,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
synthpop,2.8981245972410847,0.0,0.022075524111676598,0.0,0.6666666666666666,0.46825396825396826,0.9349810226937545,0.575,0.532063492063492
synthpop,2.937942184942152,0.0,0.00935032911777095,0.0,0.626984126984127,0.40476190476190477,0.9735528857232609,0.525,0.5271428571428571
synthpop,2.7978433137257324,0.0,0.0067515765190183374,0.0,0.6666666666666666,0.4365079365079365,1.0075296826363143,0.5,0.4818253968253968
synthpop,2.7105926368413282,0.0,0.0012703405499775167,0.0,0.6746031746031746,0.46031746031746035,1.009678722872416,0.525,0.4745526695526695
synthpop,2.3592543352691013,0.0,0.004152823920265725,0.0,0.6507936507936508,0.41269841269841273,0.9560542063312304,0.425,0.47298701298701296
synthpop,2.494099099863741,0.0,0.009917790660842307,0.0,0.7142857142857143,0.4920634920634921,0.952772572477126,0.5,0.5482539682539682
synthpop,2.560017311800724,0.0,0.005248559010528953,0.00885935769656701,0.6507936507936508,0.4365079365079365,0.9876833747073883,0.6,0.5319780219780219
synthpop,2.681735113412997,0.0,0.0067515765190183374,0.0,0.6666666666666666,0.42857142857142855,0.9236804608728286,0.575,0.585
synthpop,2.6625202780525146,0.0,0.0007343941248470487,0.0,0.6904761904761905,0.46825396825396826,0.9556948233187826,0.425,0.45777777777777773
synthpop,2.78378603767466,0.0,0.009483729986465989,0.0,0.626984126984127,0.40476190476190477,0.9041383234173193,0.35,0.5499999999999999
dpgan,,0.11489898989898994,0.48719872992296487,0.47505087505087507,0.0,0.0,9.246004921771577,0.0,0.0
