dataset,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
datasynthesizer,0.007634483175204078,0.002722774327315735,0.06099108990886113,0.06869546035614049,0.008939800133139886,0.0042628234254831615,0.005473878776063229,0.5067481538069774,0.3099057804940158,0.9464187421920437,0.47804878048780486,0.5067812082097796
datasynthesizer,0.011930579086895337,0.02055240827369666,0.005778022430143667,0.06701932711901233,0.056394984038414475,0.009099515069974987,0.0026648999999021317,0.5016552075375604,0.30481283422459887,0.942350398884303,0.5024390243902439,0.5083107784919385
datasynthesizer,0.0008706861555694261,0.004589313520871379,0.06084252284825518,0.08566951370324512,0.001702172197678542,0.0037792496668646175,0.004647632428017745,0.5090399796282149,0.31448943213649094,0.9621207888793475,0.4975609756097561,0.5067543375039661
datasynthesizer,0.008342945197439548,0.010201893913239198,0.06041433539478576,0.0900465957933708,0.03225770213478196,0.005102412356751337,0.014098420031922645,0.5029284441049147,0.3076139546727782,0.9160405265934547,0.4959349593495935,0.5148042943127042
datasynthesizer,0.008713887714097574,0.02299201103215858,0.005547861720038203,0.13210752202128503,0.034293158129057755,0.007509829615322747,0.010897171519723206,0.5016552075375604,0.31296154825566586,0.9447349684291859,0.483739837398374,0.500313791585284
datasynthesizer,0.013591536432766865,0.011049596290166318,0.06132575621122418,0.08457927302258168,0.007857310277876284,0.009169453581491696,0.020118599276393104,0.5118411000763942,0.3149987267634326,0.940561038315065,0.4894308943089431,0.5213319734554248
datasynthesizer,0.006002843898834837,0.007997476722852876,0.006053667910203261,0.08111535979647132,0.013942264555401707,0.008770964471953815,0.005783262122770708,0.5014005602240896,0.30786860198624905,0.9208734346084927,0.48292682926829267,0.5173224546997945
datasynthesizer,0.007735619478068785,0.017189967180556497,0.004048458340034659,0.08115203395767244,0.08587217531396063,0.005762742672372367,0.004716419968925897,0.5098039215686274,0.30735930735930733,0.9221364149270628,0.4796747967479675,0.5127462357021961
datasynthesizer,0.006439556461490251,0.0069572017311239544,0.00509832971008758,0.08288897611204508,0.005235576486270932,0.0028324264226252116,0.01249986550024794,0.5098039215686274,0.31117901706136997,0.9400908488289471,0.4772357723577236,0.509474749580396
datasynthesizer,0.004628141811486802,0.004381237609917931,0.06012248758331995,0.07611558557158829,0.03147375091377247,0.009984813413276908,0.006979711165291724,0.5039470333587981,0.30608607079195316,0.9537811516882736,0.5048780487804879,0.5178420999939715
