,mean,sem
pca_eigval_diff,0.04650945062995422,0.0029900296038597343
pca_eigvec_ang,0.5853188354364739,0.053422177356662805
avg_h_dist,0.19426909517814078,0.005646495743418599
corr_mat_diff,2.465538870439286,0.0048055502796519834
auroc,0.030254486611235958,0.006228551850861543
avg_F1_diff,-0.32692535668718514,0.01602859921084047
avg_F1_diff_hout,-0.24115736503030463,0.010663518753744432
eps_identif_risk,0.5446153846153845,0.0030549596141591995
priv_loss_eps,0.3584615384615385,0.002987643915501843
median_DCR,1.8691945381993829,0.009295453526961085
mia_recall,0.006086956521739131,0.0021798095019668557
mia_precision,0.22033333333333333,0.058719778147392654
