model,corr_str,id,corr_intra,corr_inter,joining,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,avg_F1_diff,avg_F1_diff_hout,eps_identif_risk,priv_loss_eps,mia_recall,mia_precision
synthpop,0.0,0,2.908767271054916,0.450466691753746,validation,0.0335095640104163,0.2427168260847718,0.0002680493730599,0.5698581215679547,-0.0117075680951114,-0.0440283938013394,0.0103454938266783,0.6123737373737373,0.3232323232323232,0.5764705882352941,0.6060734811606997
synthpop,0.0,0,2.908767271054916,0.450466691753746,concatenation,0.0119676504823375,0.1380880022515119,0.0006847226273871,0.3996502104024386,0.0022431372549017,-0.0544526669723604,0.0191499614485212,0.8207070707070707,0.4078282828282828,0.611764705882353,0.5848543330375628
synthpop,0.0,4,3.0156989208458933,0.3489429283626742,validation,0.041179425631486,0.0829453941889154,0.0031259062966008,0.5008123209124782,-0.0111947834317922,-0.0455245874156106,0.007316490072438,0.6212121212121212,0.2929292929292929,0.5352941176470588,0.5483794414756237
synthpop,0.0,4,3.0156989208458933,0.3489429283626742,concatenation,0.0145239844843074,0.1464799538641522,0.0003274730709086,0.2859410787435543,-0.0103535366740048,-0.0354688580349524,0.0078430282019671,0.8345959595959596,0.3926767676767676,0.592156862745098,0.5862494697049482
synthpop,0.0,2,2.471635491946574,0.2954408879959282,validation,0.0211377742531416,0.7310130515853682,0.0008050859590175,0.4678290194084217,-0.0064010044147109,-0.0398373805370535,-0.0136412917175811,0.6136363636363636,0.2815656565656566,0.523529411764706,0.5547668921291555
synthpop,0.0,2,2.471635491946574,0.2954408879959282,concatenation,0.0228950478020849,0.0767541742081821,0.0004478271482277,0.3184890366133103,-0.0190738321599341,-0.0575155637444483,0.0085613960891484,0.8295454545454546,0.4053030303030303,0.5607843137254902,0.5202027723045421
synthpop,0.0,1,3.039031615604128,0.371184630835784,validation,0.0221288770984772,0.0988272115219761,0.0010732168935912,0.4053141673016886,-0.0037982804232803,-0.0593995740880104,0.0051919264403779,0.6047979797979798,0.3194444444444444,0.5156862745098039,0.5459330125598058
synthpop,0.0,1,3.039031615604128,0.371184630835784,concatenation,0.0202125609317286,0.0692196423843728,0.0007749070821298,0.3044861929208249,0.0121849371693122,-0.0757926194822439,0.0172455735878191,0.8143939393939394,0.4128787878787879,0.6078431372549019,0.5650817899239161
synthpop,0.0,3,2.1488673562126586,0.406041703261015,validation,0.0403630251560199,0.3529804985625864,0.0005377956189284,0.6020745289751,0.0113599893511027,-0.1421972272806252,0.0018083326331197,0.6174242424242424,0.3169191919191919,0.4450980392156863,0.5674375780274656
synthpop,0.0,3,2.1488673562126586,0.406041703261015,concatenation,0.0095755134388768,0.1147454394329434,0.0006870592694012,0.3469936862103789,0.0130476048921353,-0.1291715256805507,0.013399895197539,0.8093434343434344,0.393939393939394,0.5862745098039216,0.56901414427157
synthpop,0.0,8,2.603501635254922,0.3294060827986346,validation,0.0451022392953629,0.1835776341583522,0.0008038825055641,0.5210357842763647,0.0001979276333549,-0.0618907367071426,-0.0118047140110243,0.6085858585858586,0.2676767676767677,0.5215686274509804,0.5568915491392454
synthpop,0.0,8,2.603501635254922,0.3294060827986346,concatenation,0.0132010505601201,0.335658162695772,0.0001190568153026,0.2513637585693422,-0.0166984173381653,-0.0824023824129749,-0.0098099151392953,0.8636363636363636,0.4204545454545454,0.5215686274509804,0.5275488737927458
synthpop,0.0,7,2.475092960389298,0.3397555332282942,validation,0.0302999038407728,0.3652591747954639,0.0,0.3915840144526661,-0.0012326009550966,-0.0608866406880928,-0.0093376305389669,0.5997474747474747,0.2613636363636363,0.5078431372549019,0.5421395849967279
synthpop,0.0,7,2.475092960389298,0.3397555332282942,concatenation,0.0118626438637226,0.3353105994110475,0.0009232691593494,0.298150085967418,0.0001738472446857,-0.0734869380815671,0.009937443588582,0.8320707070707071,0.3939393939393939,0.5784313725490196,0.5474963542943083
synthpop,0.0,6,3.0586008723307483,0.3206858742646566,validation,0.0252096858031584,0.28630997501562,0.0018751065644714,0.3539962851899456,-0.0431543122295733,-0.0662919828655754,-0.0177132958009172,0.6123737373737373,0.2815656565656565,0.5274509803921569,0.5787626941859024
synthpop,0.0,6,3.0586008723307483,0.3206858742646566,concatenation,0.0088902225475168,0.2295079436426485,0.0001190701072098,0.2124473386952159,-0.0200143496768356,-0.0942108193934232,-0.0100691683505706,0.8396464646464646,0.404040404040404,0.5411764705882354,0.5439605254558526
synthpop,0.0,9,3.0053643773407828,0.3979727338694358,validation,0.0558031041043347,0.155976915092343,0.0011610284187857,0.5235001552581166,-0.0312121286349682,-0.0623416247031161,-0.0261862560672803,0.5871212121212122,0.2878787878787879,0.5098039215686275,0.5559642482716585
synthpop,0.0,9,3.0053643773407828,0.3979727338694358,concatenation,0.0117644675585885,0.0812810420423124,0.0003871227532284,0.4009218063697363,-0.0184497087274866,-0.0718420085896866,0.0005783010004817,0.8080808080808081,0.3851010101010101,0.5647058823529412,0.5509122307166443
synthpop,0.0,5,3.068959829218332,0.3864241918272014,validation,0.0533089751500534,0.2335079426538839,0.0034908707609777,0.8750855206103599,-0.0135943972218042,-0.0511708037880437,-0.023832258893887,0.6123737373737373,0.3156565656565656,0.4823529411764705,0.5865308108992559
synthpop,0.0,5,3.068959829218332,0.3864241918272014,concatenation,0.0142587690770324,0.2597014432624242,0.0001190639037658,0.3522278065235203,0.0174264517827592,-0.0680782514361432,0.0180577721952819,0.8194444444444444,0.3939393939393939,0.6,0.565342298061499
synthpop,0.05,0,2.3726218034785225,0.56621524369349,validation,0.0494879136162306,0.2165353277395728,0.0011613694532057,0.5114749798494307,-0.0236874814769392,-0.0743085948258746,-0.0208342182962128,0.6022727272727273,0.2853535353535353,0.4882352941176471,0.5066055394523662
synthpop,0.05,0,2.3726218034785225,0.56621524369349,concatenation,0.0259988255731287,0.2787837570880121,0.0008647696678162,0.4576899136691906,-0.0035947430925505,-0.1160963695963682,-0.0047544595437068,0.8257575757575758,0.3712121212121212,0.5568627450980392,0.5577369590524667
