model,data,partitions,rep_idx,time,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,mia_recall,mia_precision
ctgan,al,1,4,2073.3375062942505,0.027287791470768548,0.6359954223493708,0.011305863599278963,0.5082932086863735,0.088062543889606,0.18061773574434248,0.20600479870893731,0.5055264688772542,0.30773705642815585,0.3555555555555555,0.4981101367864301
ctgan,al,1,1,2091.6152427196503,0.03323648631832311,0.5777762990832469,0.007672595983990935,0.5798068722196752,0.10739221124308085,0.18240102927948226,0.19220101853128885,0.5066899360093078,0.31064572425828973,0.35370370370370374,0.5266976061679802
ctgan,al,2,4,2124.358768224716,0.047355640783735053,0.7935040667073483,0.011984486048939619,0.6215517145536157,0.07200902276082977,0.07802506621764665,0.1088053227839833,0.4828388598022106,0.29493891797556715,0.23703703703703702,0.4604718614718615
ctgan,al,2,0,2237.4170083999634,0.03862431707322607,0.7270050947297207,0.013009903200782073,0.5915407521036625,0.09445201421840566,0.13128108282594034,0.13688796593326302,0.4595695171611402,0.27690517742873766,0.25555555555555554,0.507028029346025
ctgan,al,2,3,2311.756552219391,0.04749035078254587,0.5404615323511405,0.012018238075052867,0.6269190015379001,0.08381660254186496,0.12542469841948486,0.1400319430256696,0.44153577661431065,0.25887143688190806,0.17592592592592593,0.456567242281528
ctgan,al,3,1,2375.277620077133,0.04739676136656471,0.9966505777273553,0.015236213025218775,0.6330676682641971,0.1327050120368991,0.19791366804032182,0.19760799340322383,0.45898778359511344,0.2751599767306574,0.20925925925925926,0.49404553512384064
ctgan,al,3,3,2444.2900195121765,0.039312661441361155,0.836828056381609,0.01445156207353364,0.6268667236436652,0.08939748813587212,0.13357737598698355,0.14502697225905956,0.46364165212332753,0.2699243746364165,0.19814814814814816,0.5357775557775557
ctgan,al,1,0,2481.9873247146606,0.03301850149394091,0.9140220562764813,0.012597777216564148,0.5401848336288888,0.08853648789116009,0.1389188455879826,0.1828109167278976,0.47469458987783597,0.2891215823152996,0.3296296296296296,0.5318586402428547
ctgan,al,2,1,2490.417136669159,0.052278900130854865,0.6110967247840258,0.011056264080576163,0.6590005969841979,0.09308653146632839,0.11724299846858452,0.1461421022468047,0.5119255381035486,0.31413612565445026,0.2444444444444444,0.5187836227283353
ctgan,al,1,3,2521.7019419670105,0.0353631764849311,0.732243678356447,0.011328753888738738,0.565027560952669,0.08394593984448451,0.12860512472700336,0.1484476758629021,0.4723676556137289,0.2803955788248982,0.32222222222222224,0.522362843729041
ctgan,al,3,0,2535.6579353809357,0.03820378074321141,0.7699226063305388,0.01391821529586467,0.6018306363659696,0.0975772917306218,0.17136649196812176,0.1699474894445077,0.4741128563118092,0.28737638161721935,0.27592592592592596,0.4951007442577695
ctgan,al,1,2,2537.339983701706,0.02904624595235464,0.7710050477648008,0.008299870023566585,0.5753362581972934,0.12589312599960512,0.18255982136109236,0.22714880691955647,0.4735311227457824,0.27981384525887143,0.34444444444444444,0.5269297085735442
ctgan,al,2,2,2770.8244240283966,0.040385072904256636,0.5556080246882287,0.009082827469831266,0.5576093890351558,0.0738757498803101,0.10303890939095792,0.13064216436919843,0.4665503199534613,0.2763234438627109,0.30740740740740746,0.5119658494905114
ctgan,al,3,2,2799.6894233226776,0.03955462860576726,0.8852836201511884,0.008483367179255696,0.5586227746042125,0.08326945323266943,0.09004682961687477,0.10632908347100936,0.5165794066317626,0.32169866201279806,0.25370370370370365,0.47756309166508737
ctgan,al,3,4,2860.5540664196014,0.04889496927708158,0.630450367698867,0.01327806554962073,0.6370941308572607,0.0689968718191053,0.07411596448742597,0.12453320666374229,0.4874927283304247,0.2995927865037813,0.25925925925925924,0.5150816823740838
ctgan,bc,1,0,1630.3343946933746,0.03900127981315045,0.7489869126254648,0.020423416623766195,1.089690920979381,0.026968054496677496,0.05415690259745487,0.05599734354014857,0.3650201926063995,0.19726623174899038,0.25445544554455446,0.5284741567038069
