model,data,step,rep_idx,time,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,mia_cls_risk,utility,privacy
datasynthesizer,bc,1,0,165.0470883846283,0.38001957494132377,0.034069598723302286,0.016234125166123242,0.02814065284339126,0.4346070208139174,0.24976700838769805,0.34009436781987373,3.9183887934760055,1.9755316029785108
datasynthesizer,bc,2,0,100.9453775882721,0.9186639201562629,0.035490857879984294,0.03298393457902832,0.062468867714405046,0.4796520658589624,0.29947188567878225,0.34413353454626616,3.8614008071586134,1.876742513915989
datasynthesizer,bc,3,0,79.18405652046204,0.9895597667445933,0.06369740248129108,0.05217943215233389,0.07511035988432344,0.4200062131096614,0.24976700838769805,0.36200866319202485,3.800766474092513,1.968218115310616
datasynthesizer,bc,4,0,38.78051829338074,1.0433850524197632,0.03957937019907898,0.06331866613735854,0.07278156989356471,0.40509474992233613,0.2270891581236409,0.3501573137972545,3.815625518333166,2.0176587781567683
datasynthesizer,bc,1,1,151.95263004302979,0.38001957494132377,0.034069598723302286,0.016234125166123242,0.02814065284339126,0.4346070208139174,0.24976700838769805,0.3421527553329126,3.9183887934760055,1.973473215465472
datasynthesizer,bc,2,1,83.2823133468628,0.9186639201562629,0.035490857879984294,0.03298393457902832,0.062468867714405046,0.4796520658589624,0.29947188567878225,0.34026126910801635,3.8614008071586134,1.880614779354239
datasynthesizer,bc,3,1,64.77365756034851,0.9888294598665898,0.060346948037228065,0.05153209364661751,0.0858461595635171,0.4228021124572849,0.25256290773532153,0.35692288591213817,3.794034553253749,1.9677120938952553
datasynthesizer,bc,4,1,51.80529308319092,0.9852757702842785,0.05004493025592616,0.10938706520262534,0.11262025916774557,0.4361602982292637,0.26095060577819196,0.34364725699616294,3.7197371139546673,1.9592418389963813
datasynthesizer,bc,1,2,167.89121007919312,0.38001957494132377,0.034069598723302286,0.016234125166123242,0.02814065284339126,0.4346070208139174,0.24976700838769805,0.34180122041387884,3.9183887934760055,1.9738247503845057
datasynthesizer,bc,2,2,83.3938992023468,0.9186639201562629,0.035490857879984294,0.03298393457902832,0.062468867714405046,0.4796520658589624,0.29947188567878225,0.34737120815441724,3.8614008071586134,1.873504840307838
datasynthesizer,bc,3,2,81.12747478485107,0.9801443071337733,0.06247025746380208,0.049805556525655686,0.08157158959644153,0.43367505436470954,0.2572227399813607,0.35250809880544354,3.797984727187986,1.956594106848486
datasynthesizer,bc,4,2,39.99043250083923,0.9243086567359687,0.040262928497863726,0.06759535282314985,0.08047582457075514,0.43367505436470954,0.2724448586517552,0.3646821899759535,3.8039633219687645,1.9291978970075818
datasynthesizer,bc,1,3,151.24361562728882,0.38001957494132377,0.034069598723302286,0.016234125166123242,0.02814065284339126,0.4346070208139174,0.24976700838769805,0.3455972839544021,3.9183887934760055,1.9700286868439825
datasynthesizer,bc,2,3,81.85199069976807,0.9186639201562629,0.035490857879984294,0.03298393457902832,0.062468867714405046,0.4796520658589624,0.29947188567878225,0.3457048399216128,3.8614008071586134,1.8751712085406425
datasynthesizer,bc,3,3,60.450796365737915,0.9910309737084178,0.06164743274880169,0.04926277845008087,0.0647333570301046,0.44361602982292636,0.26778502640571605,0.3515344236571993,3.816097840323443,1.9370645201141583
datasynthesizer,bc,4,3,51.790048360824585,0.9673388563345532,0.07392097563943845,0.1112706616092406,0.10919776038202125,0.42559801180490836,0.2541161851506679,0.35685247744998305,3.6975494452331783,1.9634333255944407
datasynthesizer,bc,1,4,152.33868098258972,0.38001957494132377,0.034069598723302286,0.016234125166123242,0.02814065284339126,0.4346070208139174,0.24976700838769805,0.34733605859361394,3.9183887934760055,1.9682899122047708
datasynthesizer,bc,2,4,88.83823227882385,0.9186639201562629,0.035490857879984294,0.03298393457902832,0.062468867714405046,0.4796520658589624,0.29947188567878225,0.3433233159825758,3.8614008071586134,1.8775527324796792
datasynthesizer,bc,3,4,56.65583658218384,1.0069999864706078,0.03228010186160524,0.05544838022505344,0.06898764584021363,0.42559801180490836,0.25069897483690584,0.3572502089955216,3.834892205519206,1.9664528043626641
datasynthesizer,bc,4,4,53.64548921585083,0.632799461985937,0.025735688963569592,0.0891198283602731,0.12030141791468438,0.4774774774774775,0.2954333643988817,0.34037516327467465,3.7595697359115903,1.8867139948489662
datasynthesizer,cc,1,0,542.3434369564056,0.8764026011378102,0.09784698193002683,0.04628228558879863,0.0709988649417728,0.10486891385767791,0.05805243445692884,0.3546272992045846,3.7833096525641117,2.4824513524808087
datasynthesizer,cc,2,0,315.5744798183441,2.709516177522276,0.019319492502883562,0.1224587302975439,0.1355549744635287,0.05056179775280899,0.020599250936329586,0.35307042420784496,3.7178370056281613,2.5757685271030164
datasynthesizer,cc,3,0,165.73745679855347,2.6104217341977654,0.10342176086120725,0.025156237132509918,0.14353384212784825,0.06741573033707865,0.03932584269662921,0.35206802126574904,3.723235001706959,2.541190405700543
datasynthesizer,cc,4,0,104.77851676940918,2.529748459456184,0.09462336970987495,0.09309482887902798,0.1784625919078292,0.11610486891385768,0.044943820224719114,0.34500943764003306,3.6293098539605655,2.49394187322139
datasynthesizer,cc,1,1,561.2833211421967,0.8764026011378102,0.09784698193002683,0.04628228558879863,0.0709988649417728,0.10486891385767791,0.05805243445692884,0.35677605267457657,3.7833096525641117,2.4803025990108165
datasynthesizer,cc,2,1,313.8125193119049,2.452866580689129,0.2874242827530026,0.30962358691973435,0.3064270038282618,0.07116104868913857,0.024344569288389503,0.3594605166314912,3.0921528153034767,2.5450338653909808
datasynthesizer,cc,3,1,202.94213008880615,2.6558480275202125,0.020088427527873987,0.08450074798584503,0.20324315503863946,0.06928838951310862,0.0449438202247191,0.34614551203258165,3.6874335374912777,2.5396222782295905
datasynthesizer,cc,4,1,101.18713712692261,2.84441628054318,0.116724336793541,0.12246101178745888,0.1928024342956362,0.04868913857677903,0.014981273408239702,0.3575783607520521,3.5629419563737326,2.578751227262929
