model,data,partitions,rep_idx,time,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,mia_recall,mia_precision
synthpop,dm,1,0,8.774718046188354,0.0634197287430193,0.12377038522719594,0.02321911267910097,2.9596504425008017,0.00903694811257838,0.05461366029849454,0.04685635808487176,0.1688888888888889,-0.013333333333333336,0.5714285714285714,0.49604010025062656
synthpop,dm,1,1,9.96146035194397,0.03643807977863765,0.10767249220431833,0.020628135958512362,3.023751716071011,0.0028011204481792618,0.050568607107783214,0.03472040254417444,0.16,-0.013333333333333336,0.41428571428571426,0.4813986013986014
synthpop,dm,1,2,8.007835388183594,0.04604327176012982,0.356198792073902,0.03213393649166231,2.9546230465437406,0.0,0.05563915286812321,0.04589082035462819,0.14222222222222222,-0.04000000000000001,0.5,0.5071857717445953
synthpop,dm,1,3,8.850695133209229,0.029422572118602084,0.558591234723878,0.023949867369451466,3.1059717077269706,0.0014005602240896309,0.047170198680654446,0.045407159483542986,0.13777777777777778,-0.01777777777777778,0.5857142857142856,0.5414285714285714
synthpop,dm,1,4,8.31620168685913,0.06819405460899353,0.2834661628864034,0.019692713227157686,2.987164660209285,0.0007002801120448154,0.030179953248877678,0.0304934811956791,0.09777777777777778,-0.048888888888888885,0.4714285714285714,0.453021978021978
synthpop,dm,1,5,8.474345922470093,0.05666021053656496,0.9197180017444526,0.020251617866677563,3.0545239704423035,0.004201680672268893,0.050118982997172434,0.03239219385511252,0.15555555555555556,-0.013333333333333336,0.6142857142857142,0.564432203503411
synthpop,dm,1,6,8.736159086227417,0.055340376120287305,0.7859468664504736,0.017717140842552763,3.0173929641813113,0.013305322128851493,0.057926400000733985,0.013072629739249192,0.16444444444444445,0.0,0.5428571428571428,0.5041758241758241
synthpop,dm,1,7,8.870780229568481,0.025424215176622706,0.10348447730099808,0.01910874845017269,2.91742331910247,0.006302521008403339,0.06543300483653738,0.042018696096810276,0.16,-0.00888888888888889,0.45714285714285713,0.4383394383394384
synthpop,dm,1,8,9.239148616790771,0.03662427721698076,0.19563642484781954,0.018101518938372092,2.877781088992778,0.0007002801120448154,0.07501353450249282,0.010486915486915466,0.19555555555555557,0.026666666666666672,0.5142857142857142,0.4802272727272728
synthpop,dm,1,9,8.43370509147644,0.05264894445545716,0.3145812394069101,0.030527227454622795,3.0550912270337434,0.0007002801120448154,0.037412177379986755,0.02909072484161615,0.1511111111111111,-0.004444444444444445,0.5857142857142857,0.5268347338935573
synthpop,dm,2,0,19.034236431121826,0.055552429112034146,0.39403051926352584,0.027200435571482405,3.529442653058415,0.006302521008403339,0.08397858670535671,0.024270464328514513,0.18222222222222223,0.01777777777777778,0.48571428571428577,0.49444444444444446
synthpop,dm,2,1,13.770188093185425,0.1250769310474219,0.2831915617341474,0.03716206322219739,3.800291063533886,0.0028011204481792618,0.05969483063538458,0.030431856608327174,0.12,-0.03555555555555556,0.5142857142857143,0.5447552447552447
