dataset,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,avg_F1_diff,avg_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
synthpop,0.01788573928204188,0.03853682098960993,0.005189497554146529,0.2568590757423166,-0.04334250093908165,-0.05513466851052917,0.004938445445767617,0.5637891520244461,0.3738222561751974,0.8907419594488356,0.5008130081300813,0.5286154008564149
synthpop,0.021796057395741412,0.02117233663147579,0.005712571155972999,0.27212861758879553,-0.03855409734042403,-0.06879951306957982,0.0,0.5650623885918004,0.3735676088617265,0.8563976051983253,0.5089430894308943,0.5331530847895165
synthpop,0.028774983866536062,0.049394850359870145,0.004537246783327546,0.2639509255961024,-0.024419839696166235,-0.06681241300780145,0.00420601411743092,0.5581869111280876,0.3722943722943723,0.881239950221314,0.47479674796747967,0.5158072287522586
synthpop,0.018853313431686766,0.03259233609821424,0.004517375909541917,0.2983622453459626,-0.054969503320113855,-0.04662596459194562,0.013275959205564097,0.5594601476954418,0.37331296154825566,0.8766283969242675,0.4886178861788618,0.510538198675331
synthpop,0.018853313431686766,0.03259233609821424,0.004517375909541917,0.2983622453459626,-0.054969503320113855,-0.04662596459194562,0.013275959205564097,0.5594601476954418,0.37331296154825566,0.8766283969242675,0.48292682926829256,0.5269741572905478
synthpop,0.011827161455774263,0.04571934253416544,0.005132214684226624,0.2552663070652127,0.008864508482609779,-0.05278160553986344,0.024038496590267786,0.5637891520244461,0.37585943468296407,0.9096758254781601,0.48048780487804876,0.5117279663359486
synthpop,0.013185290682537846,0.019961518653267462,0.06404942559372671,0.2118264035676044,-5.23136126996393e-05,-0.06556122011798388,0.0044746327828721205,0.5645530939648586,0.37840590781767247,0.8880195765641316,0.5097560975609755,0.5340915534801202
synthpop,0.01982311601040678,0.020436577021228045,0.06205957837808643,0.2596283110546618,-0.05419811658797158,-0.06464559523811805,6.711948854676297e-05,0.5678635090399796,0.3829895594601477,0.8712436224528682,0.491869918699187,0.5153707492388954
synthpop,0.01309129343592536,0.018783897732952224,0.0040621686496100234,0.24460479727461903,-0.010411660513203524,-0.07070007834065499,0.0,0.5586962057550293,0.37000254647313474,0.8975583013331193,0.4975609756097561,0.5228146777778123
synthpop,0.026662131805733687,0.03773946324313149,0.06373090106031958,0.2660824379551154,-0.016406990310858238,-0.06408011977357794,6.711948854676297e-05,0.5653170359052712,0.3763687293099057,0.892786080284696,0.4991869918699187,0.5174654306781109
dpgan,0.020553860037567415,0.7840193705919593,0.4602969102754761,1.3675682281336565,-0.2668758171601263,-0.5250529756991393,-0.43835456776242687,0.0028011204481792717,0.002291825821237586,23.449725071879158,0.0016260162601626018,0.3
dpgan,0.26755217875802567,0.1076428030349629,0.4815041879654565,1.3117407070409364,-0.28396630176664095,-0.5180994170599452,-0.4278376594007819,0.0017825311942959,0.0012732365673542145,22.00047008848488,0.0016260162601626018,0.4
dpgan,0.12672287411904307,0.3008799335921544,0.48132529803212276,1.4890879673796362,-0.15105677378165017,-0.5124350605072515,-0.43046013393382376,0.002546473134708429,0.0017825311942959003,21.834259558652935,0.0016260162601626018,0.3
dpgan,0.28063800423398577,0.703342978169422,0.3835145103315739,1.3241273936972247,-0.1590886636315615,-0.5159887286267718,-0.43558212328487234,0.005092946269416858,0.0035650623885918006,23.721343545807706,0.006504065040650407,0.6333333333333333
dpgan,0.17963574917919822,0.6373630671315609,0.5040399047927816,1.1687613241565666,-0.12826358032680985,-0.43762914171022904,-0.39455798844743284,0.002546473134708429,0.0017825311942959003,24.06637263879449,0.0016260162601626018,0.4
dpgan,0.3574649024222776,0.280107924814196,0.46498228319981005,1.1810626360493701,-0.39979545011747275,-0.5247021572226789,-0.4380748667134937,0.0017825311942959,0.0005092946269416856,30.877510628276454,0.0032520325203252037,0.6666666666666667
dpgan,0.2548259932429638,0.9748286131511636,0.4497114138463424,1.278264362240969,-0.3668026455917084,-0.5221400820368262,-0.4372390617208961,0.002291825821237586,0.0012732365673542147,25.5326828806645,0.0008130081300813009,0.2
dpgan,0.2295125699680518,0.7694447318329901,0.4982928599466891,1.4559099116021885,-0.18607445374124987,-0.4829736345897486,-0.4380748667134937,0.002037178507766743,0.0010185892538833714,14.259075034328102,0.0024390243902439024,0.6
dpgan,0.13195453049433983,0.7134748899134629,0.5542828025271422,1.2097767544497482,-0.22459603327813205,-0.505311244163149,-0.4383056015310487,0.0010185892538833714,0.0005092946269416857,36.667636504475404,0.0,0.0
dpgan,0.23500951295091393,0.5400052341499433,0.5143547648001071,1.463577219810569,-0.1773302381931996,-0.5246418707286791,-0.43835456776242687,0.0015278838808250573,0.0007639419404125286,24.486178039251776,0.0016260162601626018,0.3
dgms,0.03430568488163189,0.17680583949745296,0.2760434530274098,0.8618863374717882,-0.06785593218239483,-0.055712670722275065,-0.0006065433935339704,0.04583651642475172,0.022154316271963334,20.497479898071692,0.021138211382113824,0.5456410256410257
dgms,0.07231464477661224,0.20941439584017338,0.2896643338282241,0.8350693370685789,-0.11527941906403494,-0.06804967022251138,0.0,0.012987012987012988,0.007639419404125288,22.35636944532639,0.005691056910569106,0.52
dgms,0.026016355930674424,0.3431112486123636,0.29845059957254844,0.8919197100260453,-0.07346576264041804,-0.034009488099158214,0.02161569286666422,0.021135727018079958,0.012223071046600456,22.335501997982544,0.008130081300813007,0.5523809523809523
dgms,0.0388491735495835,0.1642733770784919,0.28168073177677705,0.7846619927525716,-0.13041038282258166,-0.05971877203327916,0.014333368125610368,0.016042780748663103,0.011459129106187932,21.92009711870385,0.007317073170731709,0.5866666666666667
dgms,0.003473174258554668,0.19946768933427642,0.2839400485007253,0.6809388113958598,-0.09245068506014753,-0.06871834338916424,-0.0001344498236544034,0.01578813343519226,0.008148714031066973,22.46583753670961,0.004878048780487805,0.5
dgms,0.03122423466994957,0.5500599125653557,0.3281656974275886,1.0251746827115515,-0.13748625911481593,-0.041466002743554886,0.009162802347537136,0.019098548510313215,0.011968423733129615,21.99994331445554,0.0008130081300813009,0.2
dgms,0.02071350039947515,0.2567105742615059,0.2823902090710239,0.9001210563744316,-0.06978340140938533,-0.04840445825030244,0.012248406948456692,0.02291825821237586,0.012987012987012988,22.35514348494571,0.010569105691056912,0.5066666666666667
dgms,0.05517321736250093,0.19728966654251526,0.2716974664952956,0.8397255714325935,-0.07031707744331162,-0.05410540245609213,0.004626069858331236,0.02648332060096766,0.014769544181308885,22.512272887787756,0.005691056910569106,0.75
dgms,0.08334855324294996,0.21500050139579846,0.2857520161016395,0.8545022912494896,-0.07322024759253598,-0.05679967109581188,0.008265233976630162,0.01935319582378406,0.011713776419658772,21.850852908124914,0.010569105691056912,0.58
