dataset,avg_h_dist,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
datasynthesizer,0.0033465930224326756,0.07485005198328727,9.472586211534129e-06,0.007141142144189316,0.016273320576854197,0.5072574484339191,0.3114336643748409,0.939866561133444,0.5081300813008129,0.5070277007520181
datasynthesizer,0.004917884612649821,0.0860953375878247,0.009715828750863076,0.003572075276337336,0.005287194689368585,0.49961802902979374,0.3035395976572447,0.9673134204905756,0.46991869918699186,0.49219047987597114
datasynthesizer,0.06050134117626558,0.08345202849914851,3.227173525410798e-05,0.004669815217657289,0.004083193273107438,0.5095492742551566,0.31066972243442836,0.9537702648084824,0.4959349593495935,0.49832239053927035
datasynthesizer,0.0035427002825108352,0.08096078915194588,0.007036705469022575,0.004177537952927982,0.005270854699403124,0.5108225108225108,0.3157626687038452,0.9415790199663759,0.49105691056910566,0.5092829780965763
datasynthesizer,0.006493365907555909,0.06141018663038283,0.013242148459162273,0.005071758538646318,0.0026114848450175393,0.5019098548510313,0.3027756557168322,0.913596313196595,0.4813008130081301,0.5038330611261888
datasynthesizer,0.004725259155184378,0.0711135494390352,0.019650879477750904,0.007443772588312428,0.014458305889760367,0.49299719887955185,0.2936083524318819,0.9416706308293479,0.5065040650406504,0.5246786725475168
datasynthesizer,0.06268539414556912,0.11990253564217909,0.014885698659366953,0.002810539999649933,0.0028538687268220148,0.5169340463458111,0.31805449452508283,0.9728316586556891,0.4788617886178862,0.4987140682792856
datasynthesizer,0.005547674121577794,0.0660612954092097,0.005882929407334259,0.00497561528356151,0.00731844842783394,0.5176979882862236,0.32365673542144135,0.9226471801488031,0.4967479674796748,0.49621281783515014
datasynthesizer,0.0037091964127276417,0.08274473493442067,0.02713344358396441,0.008669840093281034,0.006173554195937528,0.5014005602240896,0.30303030303030304,0.9562655550469785,0.4934959349593496,0.511775228712349
datasynthesizer,0.0028788566329049415,0.10056781272852829,0.031186712290165564,0.008889240509082422,0.0033348373900331935,0.5194805194805194,0.3239113827349121,0.947047482512534,0.47235772357723577,0.49576560010896537
dgms,0.09619565404536129,0.9214800397833008,0.030308540797664874,0.010412828804131163,0.013510047970737057,0.06493506493506493,0.030303030303030297,2.036810930210675,0.04227642276422765,0.4396521739130435
dgms,0.04499002537772239,0.6914911053948185,0.0444009911069525,0.026294917578016483,0.031214581390880375,0.16424751718869365,0.09192768016297427,2.44413181443964,0.09918699186991868,0.4614305555555555
dgms,0.06809105207870636,0.6803266484623381,0.013156352883119227,0.012449855851846853,0.006613843305390735,0.27705627705627706,0.16450216450216448,0.9120392452394813,0.1926829268292683,0.4994565347506524
dgms,0.0660022829195833,0.7086960192382176,0.013934592990282657,0.013368644335472288,0.014004728359400684,0.2775655716832187,0.16424751718869363,0.9557052742004196,0.1926829268292683,0.496354175217702
dgms,0.06809314919316635,0.7354236716678622,0.0009381451774794769,0.015731778362789037,0.011200465332291257,0.2757830404889228,0.16017316017316016,0.9140985304884008,0.20243902439024392,0.49779822881670965
dgms,0.14283772120631497,1.03694690588142,0.035434219969106895,0.011671428071163517,0.016968601575030787,0.20855614973262032,0.11586452762923351,1.9087429538047034,0.1032520325203252,0.49583441941802386
dgms,0.09485984952298204,0.9316469990184392,0.0037551788704720535,0.012441888712434027,0.005885504492832677,0.102113572701808,0.05423987776928954,2.3049009495107837,0.06341463414634146,0.3953885003885004
dgms,0.06373626293328326,0.6310930442897233,0.03399017581816455,0.014764630322255182,0.009978675707525878,0.27934810287751466,0.16806722689075632,0.9097044696762489,0.1804878048780488,0.4799135359609644
dgms,0.1391306133808769,1.105264897597358,0.03115588048393536,0.027598942660194206,0.024640369898548148,0.20651897122485358,0.11357270180799592,1.9448785908802546,0.1,0.441989490249206
dgms,0.09177547731628448,0.755395477075076,0.06361317789410748,0.009675844082262783,0.03154746066566108,0.13445378151260504,0.0730837789661319,3.2433657788641477,0.06585365853658537,0.5249214407947541
dpgan,0.39339352693720253,1.2646568533135258,0.30097502472386817,0.4709972153422459,0.44721591088032586,0.0033104150751209573,0.0015278838808250573,27.254063219399974,0.0016260162601626018,0.26666666666666666
dpgan,0.5429224304387045,1.4034740178945073,0.21566727167008914,0.4593054658474087,0.43308655433442966,0.0007639419404125286,0.0,34.93865443322432,0.0008130081300813009,0.2
dpgan,0.4417982539342306,1.2457842996446893,0.1546331329211197,0.44744730873472427,0.3988475022364243,0.0035650623885918,0.0022918258212375857,26.44163668892744,0.0008130081300813009,0.2
dpgan,0.45547696586172326,1.2904441840882397,0.2133706143122105,0.4282272911713557,0.4184656267627538,0.0007639419404125286,0.0,20.48462268098831,0.0008130081300813009,0.2
dpgan,0.47700993560211896,1.2164378326244945,0.1732469239146056,0.3604567232248751,0.31865705523039156,0.0012732365673542145,0.0005092946269416858,39.08731936228836,0.0008130081300813009,0.2
dpgan,0.4792506921239035,1.3549024466539588,0.3013195913773066,0.45987220005704865,0.41684290375530886,0.0017825311942959,0.0007639419404125286,28.164425626734804,0.0008130081300813009,0.2
dpgan,0.5109240160007578,1.3278932430441412,0.527559169898181,0.46004914318040424,0.45037708673975063,0.0010185892538833714,0.0002546473134708428,32.522679727952934,0.0016260162601626018,0.4
dpgan,0.5225362085943165,1.288795471606197,0.07698070547988112,0.4365798411824393,0.4004255532840678,0.002546473134708429,0.0015278838808250575,34.02509832295742,0.0008130081300813009,0.2
dpgan,0.5438355101680166,1.4166477680903666,0.40962066428571076,0.36338787023498864,0.32715353095760374,0.0015278838808250573,0.0005092946269416858,28.548553890404353,0.0008130081300813009,0.1
dpgan,0.4680583962714605,1.4249485276525218,0.22782261673591653,0.4644618294466003,0.4390180121761915,0.0015278838808250573,0.0007639419404125286,36.077263664767514,0.0016260162601626018,0.4
